"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Edition","Publisher","Address","Book title","Proceedings title","Conference location","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Abstract","Keywords","Notes","Affiliation","Language","Sub-type","Series","Archive prefix","Eprint ID","Primary class","Pages cited","School","Version"
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Fitness, Selection, and Population Management","","2015","","","79-98","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_5;http://dx.doi.org/10.1007/978-3-662-44874-8_5","10.1007/978-3-662-44874-8_5","","","As explained in Chap. 3, there are two fundamental forces that form the basis of evolutionary systems: variation and selection. In this chapter we discuss the EA components behind the second one. Having discussed some typical population management models, and selection operators, we then go on to explicitly look at some situations where diversity is needed, such as multimodal problems, and some approaches to population management, and altering selection, that have been proposed to increase useful diversity.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Popular Evolutionary Algorithm Variants","","2015","","","99-116","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_6;http://dx.doi.org/10.1007/978-3-662-44874-8_6","10.1007/978-3-662-44874-8_6","","","In this chapter we describe the most widely known evolutionary algorithm variants. This overview serves a twofold purpose: On the one hand, it introduces those historical EA variants without which no EC textbook would be complete together with some more recent versions that deserve their own place in the family tableau. On the other hand, it demonstrates the diversity of realisations of the same basic evolutionary algorithm concept.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Parameters and Parameter Tuning","","2015","","","119-129","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_7;http://dx.doi.org/10.1007/978-3-662-44874-8_7","10.1007/978-3-662-44874-8_7","","","Chapter 3 presented an algorithmic framework that forms the common basis for all evolutionary algorithms. A decision to use an evolutionary algorithm implies that the user adopts the main design decisions behind this framework. Thus, the main algorithm setup follows automatically: the algorithm is based on a population of candidate solutions that is manipulated by selection, recombination, and mutation operators. To obtain a concrete, executable EA, the user only needs to specify a few details. In this chapter we have a closer look at these details, named parameters. We discuss the notion of EA parameters and explain why the task of designing an evolutionary algorithm can be seen as the problem of finding appropriate parameter values. Furthermore, we elaborate on the problem of tuning EA parameters and provide an overview of different algorithms that can tune EAs with limited user effort.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Parameter Control","","2015","","","131-146","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_8;http://dx.doi.org/10.1007/978-3-662-44874-8_8","10.1007/978-3-662-44874-8_8","","","The issue of setting the values of evolutionary algorithm parameters before running an EA was treated in the previous chapter. In this chapter we discuss how to do this during a run of an EA, in other words, we elaborate on controlling EA parameters on-the-fly. This has the potential of adjusting the algorithm to the problem while solving the problem. We provide a classification of different approaches based on a number of complementary features and present examples of control mechanisms for every major EA component. Thus we hope to both clarify the points we wish to raise and also to give the reader a feel for some of the many possibilities available for controlling different parameters.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Working with Evolutionary Algorithms","","2015","","","147-163","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_9;http://dx.doi.org/10.1007/978-3-662-44874-8_9","10.1007/978-3-662-44874-8_9","","","In this chapter we discuss the practical aspects of using EAs. Working with EAs often means comparing different versions experimentally, and we provide guidelines for doing this, including the issues of algorithm performance measures, statistics, and benchmark test suites. The example application (Sect. 9.4) is also adjusted to the special topics here; it illustrates the application of different experimental practices, rather than EA design.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Hybridisation with Other Techniques: Memetic Algorithms","","2015","","","167-183","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_10;http://dx.doi.org/10.1007/978-3-662-44874-8_10","10.1007/978-3-662-44874-8_10","","","In the preceding chapters we described the main varieties of evolutionary algorithms and described various examples of how they might be suitably implemented for different applications. In this chapter we turn our attention to systems in which, rather than existing as stand-alone algorithms, EA-based approaches are either incorporated within larger systems, or alternatively have other methods or data structures incorporated within them. This category of algorithms is very successful in practice and forms a rapidly growing research area with great potential. This area and the algorithms that form its subject of study are named memetic algorithms (MA). In this chapter we explain the rationale behind MAs, outline a number of possibilities for combining EAs with other techniques, and give some guidelines for designing successful hybrid algorithms.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Nonstationary and Noisy Function Optimisation","","2015","","","185-194","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_11;http://dx.doi.org/10.1007/978-3-662-44874-8_11","10.1007/978-3-662-44874-8_11","","","Unlike most of the examples we have used so far, real-world environments typically contain sources of uncertainty. This means that if we measure the fitness of a solution more than once, we will not always get the same result. Of course, biological evolution happens in just such a dynamic environment, but there are also many EA applications in environments featuring change or noise when solutions are evaluated. In these nonstationary situations the search algorithm has to be designed so that it can compensate for the unpredictable environment by monitoring its performance and altering some aspects of its behaviour. An objective of the resulting adaptation is not to find a single optimum, but rather to select a sequence of values over time that maximise or minimise some measure of the evaluations, such as the average or worst. This chapter discusses the various sources of unpredictability, and describes the principal adaptations to the basic EA in response to them.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Multiobjective Evolutionary Algorithms","","2015","","","195-202","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_12;http://dx.doi.org/10.1007/978-3-662-44874-8_12","10.1007/978-3-662-44874-8_12","","","In this chapter we describe the application of evolutionary techniques to a particular class of problems, namely multiobjective optimisation. We begin by introducing this class of problems and the particularly important notion of Pareto optimality. We then look at some of the current state-of-the-art multiobjective EAs (MOEAs) for this class of problems and examine the ways in which they make use of concepts of different evolutionary spaces and techniques for promoting and preserving diversity within the population.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Constraint Handling","","2015","","","203-213","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_13;http://dx.doi.org/10.1007/978-3-662-44874-8_13","10.1007/978-3-662-44874-8_13","","","In this chapter we return to an issue first introduced in Sect. 1.3, namely that some problems have constraints associated with them. This means that not all possible combinations of variable values represent valid solutions to the problem at hand, and we examine how this impacts on the design of an evolutionary algorithm. This issue has great practical relevance because many real-world problems are constrained. It is also theoretically challenging, since many intractable problems (NP-hard, NP-complete, etc.) are constrained. Unfortunately, constraint handling is not straightforward in an EA, because the variation operators (mutation and recombination) are typically `blind'to constraints. This means that even if the parents satisfy some constraints, there is no guarantee their offspring will. This chapter reviews the most commonly used techniques for constraint handling, identifies a number of common features, and provides some guidance for the algorithm designer.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Interactive Evolutionary Algorithms","","2015","","","215-222","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_14;http://dx.doi.org/10.1007/978-3-662-44874-8_14","10.1007/978-3-662-44874-8_14","","","This chapter discusses the topic of interactive evolution, where the measure of a solution's fitness is provided by a human's subjective judgement, rather than by some predefined model of a problem. Of course, the world around us is full of examples of human intervention in biological evolution, in the form of pets, garden flowers, food crops and farm animals. Applications of Interactive Evolutionary Algorithms (IEAs) range from capturing aesthetics in art and design, to the personalisation of artefacts such as medical devices. When including humans `in the loop'we must consider their peculiar characteristics. On one hand, they can provide insight and guidance beyond simply selecting parents for breeding. On the other, they can be inconsistent, and are prone to fatigue and loss of attention. These factors make it inappropriate to use the `traditional'model of an EA generating possibly thousands of candidate solutions. This chapter describes and explains some of the major algorithmic changes that have been proposed to cope with these issues.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Coevolutionary Systems","","2015","","","223-229","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_15;http://dx.doi.org/10.1007/978-3-662-44874-8_15","10.1007/978-3-662-44874-8_15","","","In most of this book we have been concerned with problems where the quality of a proposed solution can be relatively easily measured in isolation by some externally provided fitness function. Evaluating a solution may involve an element of random noise, but does not particularly depend on the context in which it is done. However, there are two obvious scenarios in which this set-up does not really hold. The first occurs when a solution represents some strategy or design that works in opposition to some competitor that is itself adapting. The most obvious example here would be adversarial game-playing such as chess. The second comes about when a solution being evolved does not represent a complete solution to a problem, but instead can only be evaluated as part of a greater whole, that together accomplishes some task. An example might be the evolution of a set of traffic-light controllers, each to be sited on a different junction, with fitness reflecting their joint performance in reducing congestion over a day's simulated traffic. Both of these are examples of coevolution. This chapter gives an overview of the types of scenarios where coevolution might be usefully applied, and of some of the issues involved in designing a successful application.","","","","","","","","","","","",""
"Book Chapter","Eiben AE,Smith JE","Eiben AE,Smith JE","Theory","","2015","","","231-244","","","Springer Berlin Heidelberg","Berlin, Heidelberg","Introduction to Evolutionary Computing","","","2015","","9783662448748","","","https://doi.org/10.1007/978-3-662-44874-8_16;http://dx.doi.org/10.1007/978-3-662-44874-8_16","10.1007/978-3-662-44874-8_16","","","In this chapter we present a brief overview of some of the approaches taken to analysing and modelling the behaviour of evolutionary algorithms. The Holy Grail of these efforts is the formulation of predictive models describing the behaviour of an EA on arbitrary problems, and permitting the specification of the most efficient form of optimiser for any given problem. However, (at least in the authors'opinions) this is unlikely ever to be realised, and most researchers will currently happily settle for techniques that provide any verifiable insights into EA behaviour, even on simple test problems. The reason for what might seem like limited ambition lies in one simple fact: evolutionary algorithms are hugely complex systems, involving many random factors. Moreover, while the field of EAs is fairly young, it is worth noting that the field of population genetics and evolutionary theory has a head start of more than a hundred years, and is still battling against the barrier of complexity.","","","","","","","","","","","",""
"Book","for Innovation NI,Britain) Igreat","","The productive operating theatre - scheduling","","2009","","","","","","NHS Institute for Innovation and Improvement","Coventry, England","","","","2009","","9781907045097","","","","","","","","","","","","","","","","","","",""
"Manual or Documentation","","","NATIONAL CLINICAL PROGRAMME IN SURGERY MINIMUM STANDARDS FOR ACUTE SURGICAL ASSESSMENT UNITS IN IRELAND","","2023","","","","Royal College of Surgeons in Ireland","2nd","","Coláiste Ríoga na Máinleá in Éirinn 123 St Stephen's Green, Dublin 2","","","","2023","","","","","","","","","","","Available at https://www.rcsi.com/surgery/-/media/feature/media/download-document/surgery/practice/publications-and-guidelines/models-of-care/minimum-standards-for-acute-surgical-assessment-units-in-ireland.pdf","","","","","","","","","",""
"Book","Tağtekin B,Öztürk M,Sezer M","","A Case Study: Using Genetic Algorithm for Job Scheduling Problem","","2021","","","","","","","","","","","06 2021","","","","","","","","","","","","","","","","","","","","",""
"Journal Article","Tsai SC,Yeh Y,Kuo CY","","Efficient optimization algorithms for surgical scheduling under uncertainty","European Journal of Operational Research","2021","293","2","579-593","","","","","","","","2021","","","","","https://www.sciencedirect.com/science/article/pii/S0377221720310948;http://dx.doi.org/10.1016/j.ejor.2020.12.048","10.1016/j.ejor.2020.12.048","","","In this paper, we develop a stochastic optimization model for a surgical scheduling problem considering a single operating room. We arrange a set of elective surgeries into appropriate time blocks, and determine their planned start time and specific sequence. Due to the complexity of the original formulation, we reformulate our model as a two-stage mixed-integer problem. We consider the planning decision in the first stage and the sequencing decision in the second stage (based on the first one). The goal of this paper is to obtain a nearly optimal schedule in reasonable computational time. The term ``optimal''is defined as the lowest surgically related cost while achieving the given threshold with respect to some specific deterministic or stochastic performance measures. The optimization model involves expected and probabilistic formulations that are analytically intractable. This implies that traditional mathematical programming techniques cannot be used directly. Therefore, we propose adapted rapid-screening and stochastic-approximation algorithms to deal with the first-stage and the second-stage problems, respectively. In both algorithms, we can apply either the Laplace transform or simulation methods to either evaluate or estimate the desired performance measures. The experimental results demonstrate that the proposed algorithms are more favorable compared to existing approaches.","OR in healthcare; Surgery scheduling under uncertainty; Surgery planned start time; Simulation optimization; Laplace transform","","","","","","","","","","",""
"Journal Article","Sun Y,Raghavan UN,Vaze V,Hall CS,Doyle P,Richard SS,Wald C","","Stochastic programming for outpatient scheduling with flexible inpatient exam accommodation","Health Care Management Science","2021","24","3","460-481","","","","","","","","2021","","","","","https://doi.org/10.1007/s10729-020-09527-z;http://dx.doi.org/10.1007/s10729-020-09527-z","10.1007/s10729-020-09527-z","","","This study is concerned with the determination of an optimal appointment schedule in an outpatient-inpatient hospital system where the inpatient exams can be cancelled based on certain rules while the outpatient exams cannot be cancelled. Stochastic programming models were formulated and solved to tackle the stochasticity in the procedure durations and patient arrival patterns. The first model, a two-stage stochastic programming model, is formulated to optimize the slot size. The second model further optimizes the inpatient block (IPB) placement and slot size simultaneously. A computational method is developed to solve the second optimization problem. A case study is conducted using the data from Magnetic Resonance Imaging (MRI) centers of Lahey Hospital and Medical Center (LHMC). The current schedule and the schedules obtained from the optimization models are evaluated and compared using simulation based on FlexSim Healthcare. Results indicate that the overall weighted cost can be reduced by 11.6% by optimizing the slot size and can be further reduced by an additional 12.6% by optimizing slot size and IPB placement simultaneously. Three commonly used sequencing rules (IPBEG, OPBEG, and a variant of ALTER rule) were also evaluated. The results showed that when optimization tools are not available, ALTER variant which evenly distributes the IPBs across the day has the best performance. Sensitivity analysis of weights for patient waiting time, machine idle time and exam cancellations further supports the superiority of ALTER variant sequencing rules compared to the other sequencing methods. A Pareto frontier was also developed and presented between patient waiting time and machine idle time to enable medical centers with different priorities to obtain solutions that accurately reflect their respective optimal tradeoffs. An extended optimization model was also developed to incorporate the emergency patient arrivals. The optimal schedules from the extended model show only minor differences compared to those from the original model, thus proving the robustness of the scheduling solutions obtained from our optimal models against the impacts of emergency patient arrivals.","","","","","","","","","","","",""
"Journal Article","Tadarok S,Fakhrzad MB,Jokardarabi M,Jafari-Nodoushan A","","A Mathematical Model for a Blood Supply Chain Network with the Robust Fuzzy Possibilistic Programming Approach: A Case Study at Namazi Hospital","International Journal of Engineering","2021","34","6","1493-1502","","","","Faculty of Engineering, Yazd University, Yazd, Iran; Yazd University; Industrial Engineering, Faculty of Engineering, Meybod University","","","","2021","","","","","https://www.ije.ir/article_130898.html;http://dx.doi.org/10.5829/ije.2021.34.06c.13","10.5829/ije.2021.34.06c.13","","","","blood supply chain; Integer programming; chance constraint; Uncertainty; Robust fuzzy possibilistic","","","","","","","","","","",""
"Journal Article","Lin YK,Li MY","","Solving Operating Room Scheduling Problem Using Artificial Bee Colony Algorithm","Healthcare","2021","9","2","","","","","","","","","2021","","","","","http://dx.doi.org/10.3390/healthcare9020152","10.3390/healthcare9020152","","","Many healthcare institutions are interested in reducing costs and in maintaining a good quality of care. The operating room department is typically one of the most costly units in a hospital. Hospital managers are always interested in finding effective ways of using operating rooms to minimize operating costs. In this research, we study the operating room scheduling problem. We consider the use of a weekly surgery schedule with an open scheduling strategy that takes into account the availabilities of surgeons and operating rooms. The objective is to minimize the total operating cost while maximizing the utilization of the operating rooms but also minimizing overtime use. A revised mathematical model is proposed that can provide optimal solutions for a surgery size up to 110 surgical cases. Next, two modified heuristics, based on the earliest due date (EDD) and longest processing time (LPT) rules, are proposed to quickly find feasible solutions to the studied problem. Finally, an artificial bee colony (ABC) algorithm that incorporates the initial solutions, a recovery scheme, local search schemes, and an elitism strategy is proposed. The computational results show that, for a surgery size between 40 and 100 surgical cases, the ABC algorithm found optimal solutions to all of the tested problems. For surgery sizes larger than 110 surgical cases, the ABC algorithm performed significantly better than the two proposed heuristics. The computational results indicate that the proposed ABC is promising and capable of solving large problems.","scheduling; operating rooms; artificial bee colony; heuristic","","","","","","","","","","",""
"Journal Article","Cai W,Bai X,Zhang W,Luo L,Ma H,Zhu T","","Day Surgery Scheduling and Optimization in Large Public Hospitals in China: A Three-Station Job Shop Scheduling Problem","Journal of Healthcare Engineering","2022","2022","","1149657","","","Hindawi","","","","","2022","","","","","https://doi.org/10.1155/2022/1149657;http://dx.doi.org/10.1155/2022/1149657","10.1155/2022/1149657","","","Day surgery scheduling allocates hospital resources to day surgical cases and decides on the time to perform the surgeries in the day surgery center (DSC). Based on the day surgery service process of large public hospitals in China, we found that the service efficiency of the process depends on the utilization of hospital resources efficiently and could be optimized through day surgery scheduling. We described it as a flexible flow shop owing to the three-station nature of surgery. Allocating all types of hospital resources to the three stations and determining the length of time for each stage during surgery are crucial to improving the efficiency of DSC. This paper integrates a three-station job shop scheduling problem (JSSP) into the day surgery scheduling and optimization problem. The JSSP was formulated as a mixed-integer linear programming model, and the elicitation of the model for scheduling surgeries with different priorities in the DSC is discussed. The model illustrated a case study of the DSC within West China Hospital (WCH). Numerical experiments based on the genetic algorithm design were conducted. Compared to the other optimization strategies, we proposed that the three-station job shop scheduling strategy (TSJS) could not only improve the efficiency and reduce the waiting time of the patients of the DSC in large public hospitals in China but also allow for timely scheduling adjustments during the advent of emergency surgeries.","","","","","","","","","","","",""
"Journal Article","Wang JJ,Dai Z,Chang AC,Shi JJ","","Surgical scheduling by Fuzzy model considering inpatient beds shortage under uncertain surgery durations","Annals of Operations Research","2022","315","1","463-505","","","","","","","","2022","","","","","https://doi.org/10.1007/s10479-022-04645-z;http://dx.doi.org/10.1007/s10479-022-04645-z","10.1007/s10479-022-04645-z","","","Operating Room (OR) management has been among the mainstream of hospital management research, as ORs are commonly considered as one of the most critical and expensive resources. The complicated connection and interplay between ORs and their upstream and downstream units has recently attracted research attention to focus more on allocating medical resources efficiently for the sake of a balanced coordination. As a critical step, surgical scheduling in the presence of uncertain surgery durations is pivotal but rather challenging since a patient cannot be hospitalized if a recovery bed will not be available to accommodate the admission. To tackle the challenge, we propose an overflow strategy that allows patients to be assigned to an undesignated department if the designated one is full. It has been proved that overflow strategy can successfully alleviate the imbalance of capacity utilization. However, some studies indicate that implementation of the overflow strategy exacerbates the readmission rate as well as the length of stay (LOS). To rigorously examine the overflow strategy and explore its optimal solution, we propose a Fuzzy model for surgical scheduling by explicitly considering downstream shortage, as well as the uncertainty of surgery duration and patient LOS. To solve the Fuzzy model, a hybrid algorithm (so-called GA-P) is developed, stemming from Genetic Algorithm (GA). Extensive numerical results demonstrate the plausible efficiency of the GA-P algorithm, especially for large-scale scheduling problems (e.g., comprehensive hospitals). Additionally, it is shown that the overflow cost plays a critical role in determining the efficiency of the overflow strategy; viz., benefits from the overflow strategy can be reduced as the overflow cost increases, and eventually almost vanishes when the cost becomes sufficiently large. Finally, the Fuzzy model is tested to be effective in terms of simplicity and reliability, yet without cannibalizing the patient admission rate.","","","","","","","","","","","",""
"Miscellaneous","","","HSE National Policy and Procedure for Safe Surgery","","2022","","","","The Health Service Executive (HSE)","","","","","","","2022-06","","","","","","","","","","","Available at https://www.hse.ie/eng/about/who/cspd/ncps/anaesthesia/resources/","","","","","","","","","","V2"
"Journal Article","Arab Momeni M,Mostofi A,Jain V,Soni G","","COVID19 epidemic outbreak: operating rooms scheduling, specialty teams timetabling and emergency patients' assignment using the robust optimization approach","Annals of Operations Research","2022","","","","","","","","","","","2022","","","","","https://doi.org/10.1007/s10479-022-04667-7;http://dx.doi.org/10.1007/s10479-022-04667-7","10.1007/s10479-022-04667-7","","","The health care system is characterized by limited resources, including the physical facilities as well as skilled human resources. Due to the extensive fixed cost of medical facilities and the high specialization required by the medical staff, the problem of resource scarcity in a health care supply chain is much more acute than in other industries. In the pandemic of the Coronavirus, where medical services are the most important services in communities, and protective and preventive guidelines impose new restrictions on the system, the issue of resource allocation will be more complicated and significantly affect the efficiency of health care systems. In this paper, the problem of activating the operating rooms in hospitals, assigning active operating rooms to the COVID-19 and non-COVID-19 patients, assigning specialty teams to the operating rooms and assigning the elective and emergency patients to the specialty teams, and scheduling their operations is studied by considering the new constraints of protective and preventive guidelines of the Coronavirus. To address these issues, a mixed-integer mathematical programming model is proposed. Moreover, to consider the uncertainty in the surgery duration of elective and emergency patients, the stochastic robust optimization approach is utilized. The proposed model is applied for the planning of operating rooms in the cardiovascular department of a hospital in Iran, and the results highlight the role of proper management in supplying sufficient medical resources effectively to respond to patients and scheduled surgical team to overcome the pressure on hospital resources and medical staff results from pandemic conditions.","","","","","","","","","","","",""
"Journal Article","Boosaiedi S,Reisi-Nafchi M,Moslehi G","","Operating Room Scheduling Considering Patient Priorities and Operating Room Preferences: A Case Study","international journal of industrial Engineering & Production Research","2022","33","2","","","","","","","","","2022","","","","","http://ijiepr.iust.ac.ir/article-1-1340-en.html;http://dx.doi.org/10.22068/ijiepr.33.2.9","10.22068/ijiepr.33.2.9","","","Operating rooms have become the most important areas in hospitals because of the scarcity and cost of resources. The present study investigates operating room scheduling and rescheduling considering the priority of surgical patients in a specialized hospital. The ultimate purpose of scheduling is to minimize patient waiting time, surgeon idle time between surgeries, and penalties for deviations from operating room preferences. A mathematical programming model is presented to solve the problem. Because the problem is strongly NP-hard, two heuristic algorithms are presented. A heuristic algorithm based on a mathematical programming model with local search obtains near-optimal solutions for all the samples. The average relative deviation of this algorithm is 0.02%. In continuous, heuristic algorithms performance have been investigated by increasing the number of patients and reduce the number of recovery beds. Next, a rescheduling heuristic algorithm is presented to deal with real-time situations. This algorithm presents fewer changes resulting from rescheduling in comparison with the scheduling problem.","","","","","","","","http://ijiepr.iust.ac.ir/article-1-1340-en.pdf","","","",""
"Journal Article","Mtonga K,Santhi K,Jayavel K,Mikeka C","","Technology for improved operating room scheduling - a case of Kilimanjaro Christian Medical Center of Tanzania","International Journal of Computer Aided Engineering and Technology","2022","16","","1","","","","","","","","01 2022","","","","","http://dx.doi.org/10.1504/IJCAET.2022.119588","10.1504/IJCAET.2022.119588","","","","","","","","","","","","","","",""
"Journal Article","Timuçin T,Biroğul S","","Operating Room Scheduling by Using Hybrid Genetic Algorithm","Düzce Üniversitesi Bilim ve Teknoloji Dergisi","2022","10","1","255-274","","","Duzce University","","","","","2022","","","","","http://dx.doi.org/10.29130/dubited.946453","10.29130/dubited.946453","","","","","","","","","","","","","","",""
"Journal Article","Chu J,Hsieh CH,Shih YN,Wu CC,Singaravelan A,Hung LP,Hsu JL","","Operating Room Usage Time Estimation with Machine Learning Models","Healthcare","2022","10","8","","","","","","","","","2022","","","","","http://dx.doi.org/10.3390/healthcare10081518","10.3390/healthcare10081518","","","Effectively handling the limited number of surgery operating rooms equipped with expensive equipment is a challenging task for hospital management such as reducing the case-time duration and reducing idle time. Improving the efficiency of operating room usage via reducing the idle time with better scheduling would rely on accurate estimation of surgery duration. Our model can achieve a good prediction result on surgery duration with a dozen of features. We have found the result of our best performing department-specific XGBoost model with the values 31.6 min, 18.71 min, 0.71, 28% and 27% for the metrics of root-mean-square error (RMSE), mean absolute error (MAE), coefficient of determination (R2), mean absolute percentage error (MAPE) and proportion of estimated result within 10% variation, respectively. We have presented each department-specific result with our estimated results between 5 and 10 min deviation would be more informative to the users in the real application. Our study shows comparable performance with previous studies, and the machine learning methods use fewer features that are better suited for universal usability.","operating room usage time; scheduling; machine learning; XGBoost","","","","","","","","","","",""
"Journal Article","Pandit JJ,Ramachandran SK,Pandit M","","The effect of overlapping surgical scheduling on operating theatre productivity: a narrative review","Anaesthesia","2023","77","9","1030-1038","","","John Wiley & Sons, Ltd","","","","","2023-11-17","","","","","https://doi.org/10.1111/anae.15797;http://dx.doi.org/10.1111/anae.15797","10.1111/anae.15797","","","","operating theatre efficiency; operating theatre scheduling; patient safety; quality improvement","","","","","","","","","","",""
"Journal Article","Minervini G,Pappada SM,Papadimos TJ,Khuder S,Mack ST,Beachy PZ,Casabianca AB","","Contributing Factors to Operating Room Delays Identified from an Electronic Health Record: A Retrospective Study","Anesthesiology Research and Practice","2022","2022","","8635454","","","Hindawi","","","","","2022","","","","","https://doi.org/10.1155/2022/8635454;http://dx.doi.org/10.1155/2022/8635454","10.1155/2022/8635454","","","The operating room (OR) is considered a major cost center and revenue generator for hospitals. Multiple factors contribute to OR delays and impact patient safety, patient satisfaction scores, and hospital financial performance. Reducing OR delays allows better utilization of OR resources and staffing and improves patient satisfaction while decreasing operating costs. Accurate scheduling can be the basis to achieve these goals. The objective of this initial study was to identify factors not normally documented in the electronic health record (EHR) that may contribute to or be indicators of OR delays. Materials and Methods. A retrospective data analysis was performed analyzing 67,812 OR cases from 12 surgical specialties at a small university medical center from 2010 through the first quarter of 2017. Data from the hospital’s EHR were exported and subjected to statistical analysis using Statistical Analysis System (SAS) software (SAS Institute, Cary, NC). Results. Statistical analysis of the extracted EHR data revealed factors that were associated with OR delays including, surgical specialty, preoperative assessment testing, patient body mass index, American Society of Anesthesiologists (ASA) physical status classification, daily procedure count, and calendar year. Conclusions. Delays hurt OR efficiency on many levels. Identifying those factors may reduce delays and better accommodate the needs of surgeons, staff, and patients thereby leading to improved patient’s outcomes and patient satisfaction. Reducing delays can decrease operating costs and improve the financial position of the operating theater as well as that of the hospital. Anesthesiology teams can play a key role in identifying factors that cause delays and implementing mitigating efficiencies.","","","","","","","","","","","",""
"Journal Article","Shehadeh KS,Padman R","","Stochastic optimization approaches for elective surgery scheduling with downstream capacity constraints: Models, challenges, and opportunities","Computers & Operations Research","2022","137","","105523","","","","","","","","2022","","","","","https://www.sciencedirect.com/science/article/pii/S0305054821002628;http://dx.doi.org/10.1016/j.cor.2021.105523","10.1016/j.cor.2021.105523","","","Elective surgery patients have surgery in the operating room (OR), and then recover in one or more downstream recovery units for several consecutive hours or days after surgery. Upstream scheduling that focuses on OR alone or a resource-constrained scheduling approach that fails to account for the inherent uncertainty in surgery durations and postoperative downstream recovery times yield sub-optimal or infeasible schedules and, consequently, higher cost and reduced quality of care. However, modeling such uncertainties at multiple levels is challenging, especially with limited reliable data on the random parameters in the models. Moreover, sequencing of surgical and recovery activities, and the multiple conflicting objectives of all parties involved (including management, clinicians, patients), lead to a class of complex combinatorial and multi-criteria stochastic optimization problems. In this review, we focus on stochastic optimization (SO) approaches for elective surgery scheduling and downstream capacity planning. We describe the art of formulating and solving such a class of stochastic resource-constrained scheduling problems, provide an analysis of existing SO approaches and their challenges, and highlight areas of opportunity for developing tractable, implementable, and data-driven approaches that might be applicable within and outside healthcare operations, particularly where multiple entities/jobs share the same downstream limited resources.","Surgery scheduling; Operating rooms; Downstream constraints; Stochastic optimization","","","","","","","","","","",""
"Journal Article","Maghzi P,Mohammadi M,Pasandideh SH,Naderi B","","Operating Room Scheduling Optimization Based on a Fuzzy Uncertainty Approach and Metaheuristic Algorithms","International Journal of Engineering","2022","35","2","258-275","","","","Department of Industrial Engineering, Faculty of Engineering, Kharazmi University, Tehran, Iran; Department of Mechanical, Automotive and Materials, Faculty of Engineering, University of Windsor, Windsor, Canada","","","","2022","","","","","https://www.ije.ir/article_138841.html;http://dx.doi.org/10.5829/ije.2022.35.02b.01","10.5829/ije.2022.35.02b.01","","","","Fuzzy Uncertainty Approach; Medical Center Planning; Medical staff and equipment optimization; Metaheuristic Algorithm; Operating Room Planning; scheduling","","","","","","","","","","",""
